95,Glutamate,Biosynthesis of amino acids,1.5907262632049983
96,Glutamine,Biosynthesis of amino acids,2.118551615959517
97,Glycine,Biosynthesis of amino acids,1.1571273019764472
98,Isoleucine,Biosynthesis of amino acids,0.9555426964643849
99,Methionine,Biosynthesis of amino acids,1.1408906376502455
100,Ornithine,Biosynthesis of amino acids,0.9710737792459461
101,Serine,Biosynthesis of amino acids,0.9706999445717734
102,Threonine,Biosynthesis of amino acids,0.861874308333538
103,Valine,Biosynthesis of amino acids,0.950057333909887
104,Glutamate,Glutathione metabolism,1.7134143820459
105,Glycine,Glutathione metabolism,1.2463731862135663
106,Ornithine,Glutathione metabolism,1.0459698930445378
107,Acetate,Biosynthesis of secondary metabolites,1.2686418661821361
108,Alanine,Biosynthesis of secondary metabolites,1.5972074716418847
109,Arginine,Biosynthesis of secondary metabolites,1.2328757315130958
110,Aspartate,Biosynthesis of secondary metabolites,1.4794271656575344
111,Glutamate,Biosynthesis of secondary metabolites,1.8461183580827907
112,Glycine,Biosynthesis of secondary metabolites,1.342904812870519
113,Isoleucine,Biosynthesis of secondary metabolites,1.1089556730651013
114,Methionine,Biosynthesis of secondary metabolites,1.32406134194785
115,Ornithine,Biosynthesis of secondary metabolites,1.1269802808855411
116,Serine,Biosynthesis of secondary metabolites,1.126546426820991
117,Threonine,Biosynthesis of secondary metabolites,1.0002487667291393
118,Valine,Biosynthesis of secondary metabolites,1.1025896321271744
